"contract_id","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","ARCH.LM","crossing_points","entropy","flat_spots","arch_acf","garch_acf","arch_r2","garch_r2","alpha","beta","hurst","nonlinearity","x_pacf5","diff1x_pacf5","diff2x_pacf5","trend","spike","linearity","curvature","e_acf1","e_acf10","seasonal_strength_24","seasonal_strength_168","seasonal_strength_8784","unitroot_pp","unitroot_kpss","seas_acf1_24","alpha_24","beta_24","gamma_24","lumpiness_24","max_kl_shift_24","time_kl_shift_24","max_level_shift_24","time_level_shift_24","max_var_shift_24","time_var_shift_24","seas_pacf_24","stability_24","seas_acf1_168","alpha_168","beta_168","gamma_168","lumpiness_168","max_kl_shift_168","time_kl_shift_168","max_level_shift_168","time_level_shift_168","max_var_shift_168","time_var_shift_168","seas_pacf_168","stability_168","seas_acf1_8784","alpha_8784","beta_8784","gamma_8784","lumpiness_8784","max_kl_shift_8784","time_kl_shift_8784","max_level_shift_8784","time_level_shift_8784","max_var_shift_8784","time_var_shift_8784","seas_pacf_8784","stability_8784","mean","median","sd","weekday","weekend","Morning","Day","Evening","Night","BusinessHrs","Notbusinesshrs","Winter","Summer"
516,0.481382240067146,0.322608703739369,-0.27112586217396,0.0940836686184116,-0.555046220618579,0.309581009092935,0.234938758981022,10894,0.943643182882619,354,0.120134496362545,0.00240724676274266,0.0911437280431672,0.00234391256274985,0.444578884003625,0.000100000210226781,0.88534272450784,0.117874767825086,0.232711645096219,0.179720547117928,0.72703463000406,0.0142525333896424,0.0886833842721815,-304.863744077813,580.519499228872,0.450794881298427,0.34181737128763,0.313456344738604,0.289183539407829,0.29071967014127,-20179.8468396057,1.55808101451398,0.142868231670434,0.336983586926063,0.000100002319015307,0.00440541364581429,7.40314556436618,1147.4290406904,855,343.59375,1823,219864.81884058,1663,0.0684789670871015,0.118272993239628,0.142868231670434,0.336983586926063,0.000100002319015307,0.00440541364581429,7.40314556436618,1147.4290406904,855,343.59375,1823,219864.81884058,1663,0.0684789670871015,0.118272993239628,0.142868231670434,0.336983586926063,0.000100002319015307,0.00440541364581429,7.40314556436618,1147.4290406904,855,343.59375,1823,219864.81884058,1663,0.0684789670871015,0.118272993239628,31.0197368421053,10,60.377350441062,72.7137347032865,27.2862652967135,25.3467100327713,13.7958267196286,18.1087386434686,42.7487246041315,20.4823721069274,79.5176278930726,46.6474296615047,53.3525703384953
4222,0.211349618468857,0.0690599688182499,-0.407793342557578,0.170147770404021,-0.626841191953642,0.407598575419518,0.00948686145438411,1467,0.952599470780257,129,0.00882371008138022,0.00422670601351594,0.00826760737395608,0.00480696453848043,0.0137611159576196,0.000100000057405136,0.641632015625944,0.142088468135677,0.0468994611755445,0.317366775404484,0.888241412598449,0.0187432636950898,0.0673869796340246,20.165643873792,-1.58929719533123,0.0551387980156741,0.0137077903349944,0.353110278028458,0.185755230349988,21,-3147.76431001874,0.189548659223458,0.190639567511829,0.000905103278770809,0.00010000177736476,0.00010180089602818,0.731827177669224,112.516544598717,152,20,3168,2579.34782608696,3957,0.126204322269352,0.0366816430311505,0.190639567511829,0.000905103278770809,0.00010000177736476,0.00010180089602818,0.731827177669224,112.516544598717,152,20,3168,2579.34782608696,3957,0.126204322269352,0.0366816430311505,0.190639567511829,0.000905103278770809,0.00010000177736476,0.00010180089602818,0.731827177669224,112.516544598717,152,20,3168,2579.34782608696,3957,0.126204322269352,0.0366816430311505,9.6268315018315,0,22.3475251448886,70.2021403091558,29.7978596908442,14.0320654375351,8.43594099123231,25.3092406998471,52.2227528713855,12.4156180719795,87.5843819280205,48.3947681331748,51.6052318668252
4223,0.290620308821143,0.118216007316278,-0.364005461914658,0.144290237797857,-0.594282052746767,0.358147415934452,0.0311332614548096,9163,0.918383383554913,411,0.0222780173261154,0.00207390082421466,0.0212574517133803,0.00197936095145501,0.0125457000334482,0.000100000122732901,0.714962958985393,0.179919917465636,0.0854391626784098,0.28456472632541,0.854098295188358,0.0103034672402377,0.00422361398294406,313.885439017415,193.71168239404,0.137970790074865,0.0219862875112503,0.442109043161822,0.35467117847799,0.314709168667114,-19776.5891270891,5.24589351719264,0.209754089175796,0.00305204381962957,0.000125786449941489,0.023469074874461,1.39756728893316,170.815015114881,4049,90.625,31373,43984.1032608696,31374,0.112228674488499,0.0469509335646752,0.209754089175796,0.00305204381962957,0.000125786449941489,0.023469074874461,1.39756728893316,170.815015114881,4049,90.625,31373,43984.1032608696,31374,0.112228674488499,0.0469509335646752,0.209754089175796,0.00305204381962957,0.000125786449941489,0.023469074874461,1.39756728893316,170.815015114881,4049,90.625,31373,43984.1032608696,31374,0.112228674488499,0.0469509335646752,19.4337259994435,0,39.6535301170262,68.5690193792239,31.4309806207761,14.7602851156717,6.51045755867678,25.2596979734866,53.4695593521649,9.49836389808399,90.501636101916,46.3371755403352,53.6628244596648
678,0.22213499853466,0.0716297868100185,-0.433899907327639,0.18994684399974,-0.638269236855463,0.423989269380238,0.00812166266303252,4383,0.960752257357418,785,0.00628940248478972,0.000265841691952569,0.00576810830407067,0.000266398946821703,0.0238917436651575,0.000100000068722847,0.672152065646203,0.380331403052804,0.056168176240486,0.346856219553149,0.925046427015688,0.0147422845295817,0.000656553093740944,-120.601524810642,-114.166326517057,0.185111140860566,0.081158760221676,0.428614590779616,0.315634614373703,0.472097654111543,-18112.0509663618,3.45170359468196,0.194042947151888,0.0175109538455431,0.000100362616454892,0.0432437282600839,2.34739665795193,191.770162107262,18778,61.7708333333333,15731,8714.56295289855,15735,0.15210504113191,0.0942178110954505,0.194042947151888,0.0175109538455431,0.000100362616454892,0.0432437282600839,2.34739665795193,191.770162107262,18778,61.7708333333333,15731,8714.56295289855,15735,0.15210504113191,0.0942178110954505,0.194042947151888,0.0175109538455431,0.000100362616454892,0.0432437282600839,2.34739665795193,191.770162107262,18778,61.7708333333333,15731,8714.56295289855,15735,0.15210504113191,0.0942178110954505,11.019770815915,5,20.8231987883099,75.3834003890315,24.6165996109685,16.511847795137,19.2175403777601,26.4489496786248,37.8216621484781,23.2761777894081,76.7238222105919,50.5677551259125,49.4322448740875
677,0.250514016891369,0.0782435417241201,-0.375660591142301,0.151349911307454,-0.601013587903077,0.367347678426678,0.0123272628256842,2547,0.933028293072815,540,0.0166863561087385,0.0010839665071513,0.0161072460760002,0.00107432233758361,0.0123561828338717,0.000100000054875954,0.67532654000336,0.302100114777195,0.0632609750337502,0.305454493288652,0.861391731305766,0.0289281706137354,0.251000659407196,282.483272229665,-162.151002571775,0.0850272387681034,0.00796838344777284,0.420022772682024,0.167196176080306,21,-11133.969786566,1.93046679271669,0.27135678881733,0.0015640064323718,0.000100097278764493,0.038020896431847,1.22828558982553,569.361189360917,11731,103.918269230771,11709,34634.7355072464,13822,0.198332485819812,0.0423000129094147,0.27135678881733,0.0015640064323718,0.000100097278764493,0.038020896431847,1.22828558982553,569.361189360917,11731,103.918269230771,11709,34634.7355072464,13822,0.198332485819812,0.0423000129094147,0.27135678881733,0.0015640064323718,0.000100097278764493,0.038020896431847,1.22828558982553,569.361189360917,11731,103.918269230771,11709,34634.7355072464,13822,0.198332485819812,0.0423000129094147,29.7331955755439,10,60.465790394254,71.6848979647172,28.3151020352828,13.0919526822827,14.1884979218491,27.401196709047,45.3183526868212,17.4811428504623,82.5188571495377,50.1114563247916,49.8885436752084
1341,0.302237210339459,0.119785859029371,-0.365334837610089,0.140267688671577,-0.607251950406749,0.377173208134873,0.0170241357142039,10222,0.904801910589435,1100,0.0142725552579725,0.00118383243228482,0.0133391018131436,0.00114863313335339,0.0113073344257887,0.000100000413302435,0.716839961654121,0.241749381936786,0.0951552342469468,0.259127270942568,0.819955237337631,0.0251742802901824,0.000243641460307466,-97.877766945923,86.0807119222249,0.116005697291704,0.0318057580260668,0.523758720524754,0.258547980749159,0.285407086688288,-23998.2787956255,5.01590763482104,0.305495488081407,0.00231040037397647,0.000100043116845605,0.0832271501875856,1.33563493499899,384.847853341636,7353,30.625,35230,5672.46098762896,35430,0.208245608021939,0.0617009182726644,0.305495488081407,0.00231040037397647,0.000100043116845605,0.0832271501875856,1.33563493499899,384.847853341636,7353,30.625,35230,5672.46098762896,35430,0.208245608021939,0.0617009182726644,0.305495488081407,0.00231040037397647,0.000100043116845605,0.0832271501875856,1.33563493499899,384.847853341636,7353,30.625,35230,5672.46098762896,35430,0.208245608021939,0.0617009182726644,9.46414520986515,0,20.9008938850301,69.9149078697596,30.0850921302404,16.6041777395056,9.09734419543167,42.9996822113949,31.2987958536678,12.1165890115798,87.8834109884202,44.3667220916232,55.6332779083768
2343,0.499507492624195,0.365958005928779,-0.277404009695642,0.0915049510711882,-0.569792516379558,0.32821364888285,0.496859798102055,12604,0.917865278895456,354,0.228503058476573,0.000473739848554901,0.160723362212,0.00046514518783616,0.493114239168589,0.000100001453343188,0.906473865796053,0.35733067336904,0.250838963290615,0.171880628473624,0.718341396203501,0.0262268691577238,0.281212374163188,-289.414919328916,-537.344089720843,0.437582596009509,0.289379862265588,0.386152526772672,0.205179947767944,0.295320169663902,-17824.8237873719,3.85847625382841,0.261970736495,0.378901925854819,0.000100025978810602,0.000106926863653381,26.0887151612088,277.353503995425,34083,340.416666666667,8353,583369.610507246,8356,0.127208684842488,0.114982289364991,0.261970736495,0.378901925854819,0.000100025978810602,0.000106926863653381,26.0887151612088,277.353503995425,34083,340.416666666667,8353,583369.610507246,8356,0.127208684842488,0.114982289364991,0.261970736495,0.378901925854819,0.000100025978810602,0.000106926863653381,26.0887151612088,277.353503995425,34083,340.416666666667,8353,583369.610507246,8356,0.127208684842488,0.114982289364991,35.3988279342341,10,67.2886981381216,72.980616679313,27.019383320687,27.9688522493068,12.5743179668992,12.735240241276,46.721589542518,18.1260230633377,81.8739769366623,46.599296406153,53.400703593847
2866,0.335787261205934,0.161915812517195,-0.375079068035003,0.148419422532116,-0.608770764157918,0.380711363528973,0.0176875148474418,2106,0.949634480835304,332,0.0157098635584814,0.000776139408228351,0.0147877481672224,0.000824806087021284,0.246048001657375,0.000100000330590583,0.763068251965639,0.178955467579012,0.118449274244062,0.270022404987246,0.842082587841897,0.0334628320988426,0.477333296975363,-188.968866597793,31.2263013032918,0.231705939402969,0.0613773150248225,0.308560835585013,0.204448473479586,23,-6112.1847008067,0.808790318229849,0.121254479436717,0.0228686370207421,0.000101317975012384,0.000115196469714664,1.45397131599907,379.045217965759,5163,96.7708333333333,1199,32410.2807971014,647,0.0426177780933599,0.0705765234946861,0.121254479436717,0.0228686370207421,0.000101317975012384,0.000115196469714664,1.45397131599907,379.045217965759,5163,96.7708333333333,1199,32410.2807971014,647,0.0426177780933599,0.0705765234946861,0.121254479436717,0.0228686370207421,0.000101317975012384,0.000115196469714664,1.45397131599907,379.045217965759,5163,96.7708333333333,1199,32410.2807971014,647,0.0426177780933599,0.0705765234946861,17.6759763851045,0,45.8430944327788,76.7833515318903,23.2166484681097,16.687407669086,3.06552015757809,16.3816986747169,63.865373498619,5.78714111375169,94.2128588862483,47.3826193075984,52.6173806924016
2867,0.153434202898299,0.0630104332524805,-0.474880634728436,0.226628373889729,-0.656478739410831,0.454059309063646,0.00854889234298718,2611,0.960034224113417,61,0.011451197141828,0.00123176357800836,0.00966738395310883,0.00134411677737398,0.0105115205058352,0.000100000007207074,0.630556704511105,0.328772154904064,0.0363683447843694,0.406764457483444,1.00740453497832,0.0166678949910088,0.033130317813035,19.8226306751553,38.8092783350261,0.0368329050135526,0.00298529665528094,0.307482906369921,0.215009217638355,9,-8105.66519926694,0.102774796501501,0.115940108422718,0.000818105401001341,0.00010011489332208,0.000105753193804351,0.924979895238244,374.017959682153,8316,32.2916666666667,3349,3900.95108695652,5725,0.0598536378314313,0.0455841287887076,0.115940108422718,0.000818105401001341,0.00010011489332208,0.000105753193804351,0.924979895238244,374.017959682153,8316,32.2916666666667,3349,3900.95108695652,5725,0.0598536378314313,0.0455841287887076,0.115940108422718,0.000818105401001341,0.00010011489332208,0.000105753193804351,0.924979895238244,374.017959682153,8316,32.2916666666667,3349,3900.95108695652,5725,0.0598536378314313,0.0455841287887076,8.93461494186716,0,26.1755455701147,66.9071700057979,33.0928299942021,39.8540721448665,18.0632118852823,0.84927741630701,41.2334385535442,29.5102428654255,70.4897571345745,49.5973716420795,50.4026283579205
2864,0.217319477435295,0.050988269196957,-0.38248945312753,0.156626151621171,-0.604132676866377,0.372756811883276,0.000979080804936208,47,0.99136199316274,54,0.0016063763278911,0.000792719239211768,0.00156591261136404,0.00082035875104086,0.0497911636218755,0.000100000142975817,0.646177261949458,1.48827806267445,0.04794307479225,0.33087914139098,0.872417236154491,0.0830319302565055,595.548264358276,-53.0733098150739,43.4224091577684,0.124170360600072,0.0696017969566719,0.169469594988517,24,4,-256.764615541208,0.206815774525042,-0.00496993662577724,0.000162944799105655,0.000102773082646606,0.000142684701695849,4.25348373658976,27.8755834009652,123,23.75,126,7779.9365942029,125,-0.00560185859172032,0.0580598664275815,-0.00496993662577724,0.000162944799105655,0.000102773082646606,0.000142684701695849,4.25348373658976,27.8755834009652,123,23.75,126,7779.9365942029,125,-0.00560185859172032,0.0580598664275815,-0.00496993662577724,0.000162944799105655,0.000102773082646606,0.000142684701695849,4.25348373658976,27.8755834009652,123,23.75,126,7779.9365942029,125,-0.00560185859172032,0.0580598664275815,7.71641791044776,0,34.3993829016807,90.9090909090909,9.09090909090909,12.3791102514507,8.12379110251451,2.90135396518375,76.5957446808511,8.70406189555126,91.2959381044487,0,100
